MAKE,MODEL,ODOMETER,PROFIT_MARGIN
Acura,MDX,26988,2810700
Acura,MDX,26989,3677900
Acura,MDX,27208,2609700
Acura,MDX,27542,2700300
Acura,MDX,27675,2528300
Acura,MDX,27855,2649700
Acura,MDX,27888,2779800
Acura,MDX,28061,2599500
Acura,MDX,28138,2447400
Acura,MDX,28190,2346900
Acura,MDX,28338,3400900
Acura,MDX,28358,3324750
Acura,MDX,28460,3340700
Acura,MDX,28478,2539200
Acura,MDX,28505,3649000
Acura,MDX,28533,3798700
Acura,MDX,28660,2559100
Acura,MDX,28681,2689200
Acura,MDX,28685,2316100
Acura,MDX,28686,3320500
Acura,MDX,28693,3226150
Acura,MDX,28730,2701700
Acura,MDX,28785,3401000
Acura,MDX,28854,2205000
Acura,MDX,28897,3850500
Acura,MDX,28952,3974950
Acura,MDX,29093,2908200
Acura,MDX,29141,2950200
Acura,MDX,29301,2849300
Acura,MDX,29321,2740600
Acura,MDX,29405,2610000
Acura,MDX,29440,2710300
Acura,MDX,29679,2438800
Acura,MDX,29722,2600300
Acura,MDX,29735,2979300
Acura,MDX,29754,2852400
Acura,MDX,29783,3087700
Acura,MDX,29801,2849700
Acura,MDX,29862,2750300
Acura,MDX,29932,2725850
Acura,MDX,29936,2417900
Acura,MDX,29997,3057800
Acura,MDX,30023,2739800
Acura,MDX,30149,2939000
Acura,MDX,30171,2397300
Acura,MDX,30184,2599600
Acura,MDX,30185,2538300
Acura,MDX,30287,2659900
Acura,MDX,30300,2952000
Acura,MDX,30340,3121000
Acura,MDX,30374,2649600
Acura,MDX,30478,3000100
Acura,MDX,30639,2497400
Acura,MDX,30654,2901600
Acura,MDX,30672,2578500
Acura,MDX,30757,2777500
Acura,MDX,30774,3025050
Acura,MDX,30900,2438200
Acura,MDX,30919,2800800
Acura,MDX,30922,2831300
Acura,MDX,30961,3200600
Acura,MDX,30985,3176550
Acura,MDX,31031,3050200
Acura,MDX,31058,2680300
Acura,MDX,31070,3824250
Acura,MDX,31156,2667800
Acura,MDX,31221,2568200
Acura,MDX,31225,2797600
Acura,MDX,31240,2829200
Acura,MDX,31282,2821200
Acura,MDX,31318,2801200
Acura,MDX,31355,2750700
Acura,MDX,31373,2746500
Acura,MDX,31379,2699600
Acura,MDX,31467,3039500
Acura,MDX,31472,2398000
Acura,MDX,31688,2821200
Acura,MDX,31697,4326450
Acura,MDX,31905,3260100
Acura,MDX,32069,3251700
Acura,MDX,32109,2949100
Acura,MDX,32163,2700800
Acura,MDX,32175,2710500
Acura,MDX,32184,2758800
Acura,MDX,32188,2438300
Acura,MDX,32231,2509500
Acura,MDX,32246,2768000
Acura,MDX,32309,2862400
Acura,MDX,32403,2725550
Acura,MDX,32552,2639100
Acura,MDX,32552,2901700
Acura,MDX,32554,2919300
Acura,MDX,32579,3201600
Acura,MDX,32782,3201900
Acura,MDX,32812,2849800
Acura,MDX,32848,2689600
Acura,MDX,32857,2499100
Acura,MDX,32865,2550200
Acura,MDX,32960,3528250
Acura,MDX,32964,2519100
Acura,MDX,33021,3300700
Acura,MDX,33088,2428600
Acura,MDX,33112,2518000
Acura,MDX,33198,2519500
Acura,MDX,33214,2838500
Acura,MDX,33239,2419200
Acura,MDX,33245,2600900
Acura,MDX,33290,2801400
Acura,MDX,33319,2624450
Acura,MDX,33330,2528200
Acura,MDX,33401,2950800
Acura,MDX,33417,2720700
Acura,MDX,33435,2639900
Acura,MDX,33443,3219700
Acura,MDX,33477,2828600
Acura,MDX,33535,2701100
Acura,MDX,33541,2498600
Acura,MDX,33576,2679600
Acura,MDX,33600,3041900
Acura,MDX,33632,2700400
Acura,MDX,33655,3300600
Acura,MDX,33655,3850600
Acura,MDX,33698,2730900
Acura,MDX,33774,2519300
Acura,MDX,33809,3128300
Acura,MDX,33817,3119000
Acura,MDX,33901,3401600
Acura,MDX,33907,2357600
Acura,MDX,33960,2801900
Acura,MDX,34186,2639900
Acura,MDX,34197,2999800
Acura,MDX,34311,3201600
Acura,MDX,34367,2925650
Acura,MDX,34421,2661200
Acura,MDX,34441,3111000
Acura,MDX,34551,2857100
Acura,MDX,34643,2700400
Acura,MDX,34786,2498500
Acura,MDX,34850,2569300
Acura,MDX,34852,2675950
Acura,MDX,34906,3001600
Acura,MDX,34936,2849000
Acura,MDX,35050,2669800
Acura,MDX,35070,3998800
Acura,MDX,35076,2630100
Acura,MDX,35182,2941100
Acura,MDX,35194,2759200
Acura,MDX,35236,2547900
Acura,MDX,35243,3275250
Acura,MDX,35254,2790500
Acura,MDX,35254,3025150
Acura,MDX,35363,2568800
Acura,MDX,35443,1710300
Acura,MDX,35445,2924850
Acura,MDX,35550,2929300
Acura,MDX,35681,2670700
Acura,MDX,35742,2902400
Acura,MDX,35752,3775850
Acura,MDX,35755,2579600
Acura,MDX,35763,2323650
Acura,MDX,35861,2458400
Acura,MDX,35914,2881500
Acura,MDX,35984,3025750
Acura,MDX,36027,3080200
Acura,MDX,36040,2650500
Acura,MDX,36049,2700100
Acura,MDX,36063,2438100
Acura,MDX,36081,2579700
Acura,MDX,36107,3099700
Acura,MDX,36127,2924450
Acura,MDX,36212,2862100
Acura,MDX,36234,2950100
Acura,MDX,36314,2799600
Acura,MDX,36316,2800600
Acura,MDX,36445,4200400
Acura,MDX,36488,2700100
Acura,MDX,36506,3299800
Acura,MDX,36533,3076450
Acura,MDX,36593,3076450
Acura,MDX,36616,2580100
Acura,MDX,36631,2630700
Acura,MDX,36717,2590400
Acura,MDX,36737,2677700
Acura,MDX,36739,2288600
Acura,MDX,36754,3968700
Acura,MDX,36811,3040100
Acura,MDX,36883,2659800
Acura,MDX,36933,2569900
Acura,MDX,37046,2875450
Acura,MDX,37079,2802600
Acura,MDX,37094,2550000
Acura,MDX,37180,2548700
Acura,MDX,37186,2499900
Acura,MDX,37227,2999400
Acura,MDX,37245,2828600
Acura,MDX,37348,2298200
Acura,MDX,37403,2551200
Acura,MDX,37492,2879200
Acura,MDX,37544,2672250
Acura,MDX,37587,3101800
Acura,MDX,37602,2941400
Acura,MDX,37649,3161900
Acura,MDX,37670,2529300
Acura,MDX,37693,2879200
Acura,MDX,37717,2826750
Acura,MDX,37718,2477200
Acura,MDX,37733,2930000
Acura,MDX,37738,2599900
Acura,MDX,37790,2680800
Acura,MDX,37813,2630900
Acura,MDX,37999,2990200
Acura,MDX,38100,2749200
Acura,MDX,38162,2448800
Acura,MDX,38168,2701700
Acura,MDX,38180,2616800
Acura,MDX,38433,2680600
Acura,MDX,38480,2900900
Acura,MDX,38752,2741000
Acura,MDX,38860,2617200
Acura,MDX,38874,2610400
Acura,MDX,38883,2910000
Acura,MDX,38901,3351900
Acura,MDX,39016,2298600
Acura,MDX,39063,2919900
Acura,MDX,39130,2931500
Acura,MDX,39142,2398700
Acura,MDX,39289,2369000
Acura,MDX,39346,2458300
Acura,MDX,39667,3253400
Acura,MDX,39739,2525650
Acura,MDX,39846,2037800
Acura,MDX,39849,2510200
Acura,MDX,39935,2859900
Acura,MDX,39946,2897400
Acura,MDX,40015,2972000
